,Grade,기온(°C),풍향(deg),풍속(m/s),강수량(mm),습도,보온재,고도,음/양지_0,음/양지_1,가정용/일반용_0,가정용/일반용_1
164,0,2,350.7,3.2,0,24.8,0,29,1,0,1,0
165,0,1.7,275.1,4.6,0,26.7,0,29,1,0,1,0
166,0,1.4,272,4.6,0,27.6,0,29,1,0,1,0
167,0,0.2,277.3,2.7,0,34,0,29,1,0,1,0
168,1,-0.8,286.9,2.5,0,33.1,0,29,1,0,1,0
169,0,-2,299.5,2.1,0,38.4,0,29,1,0,1,0
170,0,-3.3,301.8,1.7,0,52.7,0,29,1,0,1,0
171,0,-3.3,274.4,1.6,0,44.1,0,29,1,0,1,0
172,0,-3.7,339.8,2.1,0,39.7,0,29,1,0,1,0
173,0,-4.5,334.3,1.4,0,40.1,0,29,1,0,1,0
174,0,-5.2,343.6,1.3,0,41.6,0,29,1,0,1,0
175,0,-7.1,0,0.4,0,53.6,0,29,1,0,1,0
176,0,-5.9,21,3,0,50.2,0,29,1,0,1,0
177,0,-7.2,315.7,1.5,0,54.8,0,29,1,0,1,0
178,0,-7,35,0.7,0,50.1,0,29,1,0,1,0
180,0,-5.2,190.8,0.9,0,41.3,0,29,1,0,1,0
181,0,-2,224.8,1.3,0,25.2,0,29,1,0,1,0
182,0,-0.6,270.6,1.4,0,17.1,0,29,1,0,1,0
183,0,0.8,211.5,1.7,0,17.1,0,29,1,0,1,0
184,0,1.3,111.2,0.6,0,20.8,0,29,1,0,1,0
185,0,1.9,70.4,2,0,25.1,0,29,1,0,1,0
186,0,1,110.7,2.6,0,24.3,0,29,1,0,1,0
187,0,-1.4,147.1,1,0,34.6,0,29,1,0,1,0
188,0,-3.5,278.2,0.9,0,47,0,29,1,0,1,0
189,0,-3.4,0,0.4,0,48.7,0,29,1,0,1,0
190,0,-3.9,288.2,0.6,0,50.5,0,29,1,0,1,0
191,0,-5,0,0.3,0,62.2,0,29,1,0,1,0
197,0,-3.1,287.8,0.7,0,68.1,0,29,1,0,1,0
199,0,5.7,345.3,2.2,0,35.5,0,29,1,0,1,0
200,0,5.8,11.4,2.8,0,36.1,0,29,1,0,1,0
201,0,7.2,303.8,2.3,0,28.3,0,29,1,0,1,0
202,0,7.2,338.3,2.4,0,29,0,29,1,0,1,0
203,0,6.1,358.9,2.3,0,30.9,0,29,1,0,1,0
204,0,5.4,325,1.2,0,31.7,0,29,1,0,1,0
205,0,4.3,200.5,0.5,0,32.5,0,29,1,0,1,0
206,0,-0.2,0,0.4,0,50.1,0,29,1,0,1,0
207,0,-1.9,0,0.1,0,58.8,0,29,1,0,1,0
208,0,-3,0,0.4,0,65,0,29,1,0,1,0
209,0,-4.2,0,0.4,0,70.3,0,29,1,0,1,0
210,0,-4.5,299.6,0.5,0,73.5,0,29,1,0,1,0
211,0,-5.3,0,0.1,0,76.9,0,29,1,0,1,0
212,0,-5.3,0,0.1,0,77.5,0,29,1,0,1,0
214,0,-5.7,310.8,0.6,0,78.8,0,29,1,0,1,0
215,0,-5.7,0,0.3,0,81.1,0,29,1,0,1,0
217,0,-0.9,0,0.4,0,76.4,0,29,1,0,1,0
218,0,1.9,86.2,0.5,0,64.9,0,29,1,0,1,0
219,0,6.4,346.3,0.8,0,49.7,0,29,1,0,1,0
220,0,8.6,50.8,2.3,0,45.8,0,29,1,0,1,0
221,0,10.5,76.4,2.8,0,43.7,0,29,1,0,1,0
222,0,11.8,330.8,2,0,39.6,0,29,1,0,1,0
223,0,11.6,120.6,1.7,0,40.4,0,29,1,0,1,0
224,0,11.3,232.2,2.5,0,40.8,0,29,1,0,1,0
225,0,10.9,256,2,0,41.8,0,29,1,0,1,0
226,0,7,310.5,0.6,0,55.9,0,29,1,0,1,0
227,0,5.2,329.5,1,0,63.9,0,29,1,0,1,0
228,0,3.1,260.9,0.5,0,70.9,0,29,1,0,1,0
229,0,0.8,0,0.4,0,81.4,0,29,1,0,1,0
230,0,0.5,157.5,0.5,0,84.4,0,29,1,0,1,0
231,0,-1.3,0,0.4,0,89.7,0,29,1,0,1,0
232,0,-2,0,0.2,0,92.9,0,29,1,0,1,0
233,0,-2.3,0,0.1,0,97.9,0,29,1,0,1,0
234,0,-2.9,0,0.2,0,97.9,0,29,1,0,1,0
235,0,-3.2,0,0.4,0,97.9,0,29,1,0,1,0
236,0,-3.6,0,0.3,0,97.9,0,29,1,0,1,0
237,0,-3.8,0,0.3,0,97.9,0,29,1,0,1,0
238,0,-4.1,0,0.1,0,97.9,0,29,1,0,1,0
240,0,-2.3,0,0.4,0,97.9,0,29,1,0,1,0
241,0,0.7,91.1,0.5,0,95,0,29,1,0,1,0
242,0,5.2,93,0.6,0,71.6,0,29,1,0,1,0
243,0,10.5,313.1,0.5,0,54.4,0,29,1,0,1,0
244,0,12.6,28.3,1.5,0,49.7,0,29,1,0,1,0
245,0,13.1,42,2.9,0,48,0,29,1,0,1,0
246,0,13.5,31.1,1.7,0,45.1,0,29,1,0,1,0
247,0,12.3,220,1.1,0,49.4,0,29,1,0,1,0
248,0,8.5,0,0.4,0,61.4,0,29,1,0,1,0
249,0,5.9,0,0.4,0,68.5,0,29,1,0,1,0
250,0,3.9,0,0.3,0,75.6,0,29,1,0,1,0
251,0,2.2,0,0.3,0,80.5,0,29,1,0,1,0
252,0,1.4,0,0.4,0,87.2,0,29,1,0,1,0
253,0,-0.4,0,0.3,0,87.3,0,29,1,0,1,0
254,0,-0.8,0,0.3,0,97.9,0,29,1,0,1,0
255,0,-1.9,0,0.4,0,97.9,0,29,1,0,1,0
256,0,-2.3,0,0.3,0,97.9,0,29,1,0,1,0
257,0,-3.3,0,0.3,0,97.9,0,29,1,0,1,0
258,0,-3.5,0,0.3,0,97.9,0,29,1,0,1,0
259,0,-3.6,267.6,0.6,0,97.9,0,29,1,0,1,0
